ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0071826,ribonucleoprotein complex subunit organization,72/1130,242/18903,2.95230489541111e-31,1.29552506637722e-28,1.16905623513982e-28,PRMT5/EIF3D/PRPF3/EIF3G/EIF3J/PRPF6/HSP90AB1/RPSA/SNRPA1/GCFC2/EIF2S2/EIF4B/RPL10/RPS19/EIF2S3/NOP2/RPL5/CLNS1A/EIF5/SNU13/EIF3B/GEMIN4/EIF3E/RPS14/SNRPD2/RPS15/RPS28/RPL38/RPL6/SFSWAP/EIF3I/ATR/BOP1/EIF3A/RRS1/EIF4H/PWP2/SF3A1/ZNHIT3/USP39/SHQ1/EIF3M/NOPCHAP1/ZFAND1/BRIX1/GEMIN5/GEMIN6/CLP1/TGS1/SRPK1/EIF3C/WDR77/RPF2/XAB2/LUC7L/PPAN/MDN1/PRMT7/NLE1/ZNHIT6/EIF3K/DDX20/NUFIP1/PUF60/MRTO4/ABT1/RUVBL2/EIF3L/RUVBL1/MRPS7/RRP7A/STRAP,72
BP,GO:0000462,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),29/1130,39/18903,8.37678412690278e-28,3.36956141504664e-25,3.04062567694067e-25,WDR46/UTP20/RPP40/ERCC2/RPS19/RPS14/NOP14/TBL3/BYSL/BMS1/RRS1/WDR43/PWP2/TSR1/UTP25/NOP9/DHX37/NGDN/UTP4/UTP23/NOL10/HEATR1/UTP3/SLX9/DCAF13/UTP6/ABT1/RCL1/FCF1,29
BP,GO:0140053,mitochondrial gene expression,53/1130,163/18903,2.28684454174412e-25,8.49122969461451e-23,7.66231798683171e-23,POLRMT/PRORP/MRPS12/PTCD1/GATB/NDUFA7/SHMT2/GARS1/LRPPRC/TUFM/MRPL12/MRPS22/MRPS35/MRPS15/MRPS34/MRPL58/FASTKD3/TRMT5/RPUSD3/MRPL14/TRMT10C/MTERF4/SUPV3L1/MRPL43/NOA1/GADD45GIP1/PNPT1/TFB1M/CHCHD10/MRPS27/MRPS31/TBRG4/RPUSD4/THAP11/PTCD3/GFM1/TWNK/CDK5RAP1/ELAC2/MRPL45/MRPL1/MRPS26/MRPL18/MTG2/TFB2M/MRPS30/MRPL39/MRPL27/MRPS7/MTO1/MRPL11/MRPS23/PUS1,53
BP,GO:0006399,tRNA metabolic process,57/1130,195/18903,1.52431256243002e-24,5.25561195632122e-22,4.74256043859806e-22,PRORP/NARS1/PTCD1/RPP40/GATB/ELP1/SSB/EPRS1/WARS1/GARS1/IARS1/QARS1/AARS1/SARS1/YARS1/MARS1/WDR4/NSUN2/TARBP1/KARS1/CTU2/TRMT5/ELP2/THADA/TRMT10C/ADAT2/CTU1/YRDC/TRMT44/TRMT2A/DTWD1/FAM98A/ELP5/NSUN6/CLP1/GTPBP3/RPUSD4/DUS3L/PUS7/CDK5RAP1/POP1/ELAC2/RPP25/QTRT1/NAT10/QTRT2/ELP3/DUS2/TRMT1/LARS1/FTSJ1/TRMT6/FARSA/POLR3K/MTO1/RTCB/PUS1,57
BP,GO:0000470,maturation of LSU-rRNA,23/1130,28/18903,4.31941969548815e-24,1.38998925800809e-21,1.25429885613544e-21,PES1/URB1/RSL1D1/RPL7/NOP2/SNU13/RPL7A/RPL10A/BOP1/ZNHIT3/NOL9/RPL7L1/FTSJ3/MAK16/MRPL1/NIFK/GTPBP4/WDR12/RPF2/RPF1/DDX18/ZNHIT6/LAS1L,23
BP,GO:0008033,tRNA processing,46/1130,134/18903,2.6124378787468e-23,7.88139852544425e-21,7.11201838306201e-21,PRORP/PTCD1/RPP40/ELP1/SSB/AARS1/SARS1/WDR4/NSUN2/TARBP1/KARS1/CTU2/TRMT5/ELP2/THADA/TRMT10C/ADAT2/CTU1/YRDC/TRMT44/TRMT2A/DTWD1/FAM98A/ELP5/NSUN6/CLP1/GTPBP3/RPUSD4/DUS3L/PUS7/CDK5RAP1/POP1/ELAC2/RPP25/QTRT1/NAT10/QTRT2/ELP3/DUS2/TRMT1/FTSJ1/TRMT6/POLR3K/MTO1/RTCB/PUS1,46
BP,GO:0009451,RNA modification,52/1130,176/18903,9.77616828071619e-23,2.775856723001e-20,2.50487828765347e-20,ELP1/SSB/FBL/NOP2/AARS1/WDR4/SNRPD2/NSUN2/TARBP1/WTAP/CTU2/TRMT5/ELP2/MRM1/RPUSD3/THADA/TRMT10C/ADAT2/CTU1/YRDC/FTSJ3/TRMT44/TRMT2A/RPUSD2/DTWD1/ELP5/NSUN6/TFB1M/EMG1/GTPBP3/NSUN4/RPUSD4/DUS3L/NSUN5/PUS7/TGS1/CDK5RAP1/QTRT1/NAT10/TFB2M/QTRT2/ELP3/MRM3/METTL5/DUS2/TRMT1/DNAJB11/FTSJ1/TRMT6/DIMT1/MTO1/PUS1,52
BP,GO:0006417,regulation of translation,88/1130,486/18903,3.98855628797797e-21,1.06959784455942e-18,9.65183971909522e-19,ZC3H12D/EIF3D/SYNCRIP/EIF5B/CSDE1/CDC123/ELP1/DHFR/GAPDH/EIF2S1/NPM1/EPRS1/PABPC1/EEF2/GSPT1/YBX3/NCL/RPS3/EIF4B/RPL10/CALR/SHMT2/MLH1/EIF2S3/EIF1/LRPPRC/RPL5/IREB2/AARS1/EIF5/EIF3B/EIF3E/RPS14/ETF1/RPL38/EIF5A/YBX1/EIF4G2/EIF4G1/TRAP1/EIF2B5/TCOF1/CAPRIN1/NOLC1/FASTKD3/EIF4H/PUM3/CYP1B1/GLE1/ELP2/RPUSD3/LARP1/LARP4/TRMT10C/ZNF598/OGFOD1/NGDN/PNPT1/ELP5/GEMIN5/MRPS27/GCN1/UPF1/RPUSD4/PTCD3/DUS3L/CNOT6L/NSUN5/PUS7/CDK5RAP1/EIF3C/DPH2/MKNK1/EIF2A/DPH1/TNKS1BP1/NAT10/DPH5/DHX36/MTG2/ELP3/JMJD4/METTL5/EIF3K/PA2G4/DIS3/YBX2/BZW2,88
BP,GO:0042255,ribosome assembly,29/1130,61/18903,8.02119313509925e-20,2.03780522437495e-17,1.83887519075018e-17,NPM1/RPSA/RPL10/RPS19/NOP2/RPL5/RPS14/RPS15/RPS28/RPL38/RPL6/BOP1/RRS1/PWP2/MTERF4/DHX37/BRIX1/MTERF3/EIF2A/RPF2/PPAN/MDN1/NLE1/MRTO4/ABT1/NIP7/MRPS7/RRP7A/SBDS,29
BP,GO:0006413,translational initiation,39/1130,123/18903,1.41385182562755e-18,3.32737702797581e-16,3.002559319129e-16,EIF3D/EIF5B/CSDE1/CDC123/EIF3G/EIF3J/EIF2S1/NPM1/RPS17/EIF2S2/RPS3/EIF4B/EIF2S3/EIF1/EIF1AX/EIF5/EIF3B/EIF3E/EIF4A1/RPS3A/EIF4G2/EIF4G1/EIF2B5/EIF3I/EIF3A/EIF2B1/SLBP/EIF4H/GLE1/LARP1/EIF3M/EIF1AD/EIF3C/EIF2A/DHX33/EIF2B3/EIF3K/EIF3L/BZW2,39
BP,GO:0006400,tRNA modification,34/1130,93/18903,1.44758478532198e-18,3.32737702797581e-16,3.002559319129e-16,ELP1/SSB/AARS1/WDR4/NSUN2/TARBP1/CTU2/TRMT5/ELP2/THADA/TRMT10C/ADAT2/CTU1/YRDC/TRMT44/TRMT2A/DTWD1/ELP5/NSUN6/GTPBP3/RPUSD4/DUS3L/PUS7/CDK5RAP1/QTRT1/NAT10/QTRT2/ELP3/DUS2/TRMT1/FTSJ1/TRMT6/MTO1/PUS1,34
BP,GO:0000463,maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),14/1130,15/18903,9.77467034391987e-17,2.14465153409551e-14,1.93529119058088e-14,PES1/URB1/RPL7/BOP1/ZNHIT3/NOL9/RPL7L1/FTSJ3/NIFK/GTPBP4/WDR12/RPF2/DDX18/ZNHIT6,14
BP,GO:0032543,mitochondrial translation,38/1130,131/18903,1.1279022854226e-16,2.36712362249344e-14,2.13604560964702e-14,MRPS12/PTCD1/GATB/NDUFA7/SHMT2/GARS1/LRPPRC/TUFM/MRPL12/MRPS22/MRPS35/MRPS15/MRPS34/MRPL58/FASTKD3/RPUSD3/MRPL14/TRMT10C/MRPL43/NOA1/GADD45GIP1/MRPS27/MRPS31/RPUSD4/PTCD3/GFM1/CDK5RAP1/MRPL45/MRPL1/MRPS26/MRPL18/MTG2/MRPS30/MRPL39/MRPL27/MRPS7/MRPL11/MRPS23,38
BP,GO:0000478,endonucleolytic cleavage involved in rRNA processing,14/1130,16/18903,7.38862198799895e-16,1.42659513344284e-13,1.2873312752143e-13,UTP20/RPP40/NOP14/TBL3/BOP1/BMS1/RRS1/TSR1/NOL9/NOP9/UTP23/ABT1/RCL1/FCF1,14
BP,GO:0000479,endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),14/1130,16/18903,7.38862198799895e-16,1.42659513344284e-13,1.2873312752143e-13,UTP20/RPP40/NOP14/TBL3/BOP1/BMS1/RRS1/TSR1/NOL9/NOP9/UTP23/ABT1/RCL1/FCF1,14
BP,GO:0006457,protein folding,49/1130,223/18903,1.11062215064057e-15,2.06191273890078e-13,1.8606293357695e-13,DFFA/PDCD5/PPIH/DNAJA2/DNAJB6/CLPX/AHSA1/HSPA4L/TTC4/BAG2/CD74/P4HB/HSP90AB1/HSPD1/HSPA5/HSPA8/PDIA4/HSP90B1/ATF6/CALR/CANX/ERP29/DNAJA1/HSPA9/PEX5/CCT8/HSPE1/CSNK2A1/FKBP4/HSPA14/TRAP1/MOGS/HSP90AA4P/DNLZ/TXNDC5/GRPEL2/HSPH1/DNAJA3/DNAJC2/TTC1/GRPEL1/SDF2L1/SACS/HSPBP1/DNAJB11/CHORDC1/RUVBL2/NUDC/HYOU1,49
BP,GO:0000959,mitochondrial RNA metabolic process,23/1130,50/18903,1.33204088480058e-15,2.38139309293792e-13,2.14892209797458e-13,POLRMT/PRORP/GARS1/LRPPRC/MRPL12/FASTKD3/TRMT5/TRMT10C/MTERF4/SUPV3L1/PNPT1/TFB1M/CHCHD10/TBRG4/RPUSD4/THAP11/TWNK/CDK5RAP1/ELAC2/SLIRP/TFB2M/MTO1/PUS1,23
BP,GO:0002183,cytoplasmic translational initiation,20/1130,40/18903,1.26267771548476e-14,2.17676619023033e-12,1.96427082205862e-12,EIF3D/EIF3G/EIF3J/EIF2S2/EIF4B/EIF2S3/EIF5/EIF3B/EIF3E/EIF4A1/EIF4G1/EIF3I/EIF3A/SLBP/EIF4H/EIF3M/EIF3C/EIF2B3/EIF3K/EIF3L,20
BP,GO:0001510,RNA methylation,29/1130,90/18903,2.26504724350034e-14,3.77013208426763e-12,3.40209273815041e-12,FBL/NOP2/WDR4/SNRPD2/NSUN2/TARBP1/WTAP/TRMT5/MRM1/THADA/TRMT10C/FTSJ3/TRMT44/TRMT2A/NSUN6/TFB1M/EMG1/GTPBP3/NSUN4/NSUN5/TGS1/TFB2M/MRM3/METTL5/TRMT1/FTSJ1/TRMT6/DIMT1/MTO1,29
BP,GO:0001732,formation of cytoplasmic translation initiation complex,13/1130,16/18903,5.51382103005246e-14,8.87173803735441e-12,8.00568120082705e-12,EIF3D/EIF3G/EIF3J/EIF2S2/EIF5/EIF3B/EIF3E/EIF3I/EIF3A/EIF3M/EIF3C/EIF3K/EIF3L,13
BP,GO:0008380,RNA splicing,71/1130,469/18903,3.77175373101882e-13,5.87298556762188e-11,5.29966619319384e-11,MPHOSPH10/PRMT5/RNF113A/PRPF4/PRPF3/PPIH/SYNCRIP/ZPR1/BCAS2/PRPF6/ECD/NPM1/SNRPA1/HSPA8/PABPC1/GCFC2/DDX5/NCL/WT1/CLNS1A/SNU13/GEMIN4/SNRPD2/YBX1/U2AF1/SRSF11/SFSWAP/PRPF4B/RRP1B/WTAP/SF3A1/USP39/FAM98A/THOC2/GEMIN5/CACTIN/GEMIN6/CLP1/RPUSD4/ESS2/THOC1/THOC3/ZMAT2/PUS7/SLC38A2/TGS1/CCNL2/SRPK1/PRMT1/WDR77/UBL5/DDX47/PNN/DHX35/XAB2/LUC7L/MBNL3/PRMT7/RBM28/CWC25/DDX20/PUF60/DDX41/TTF2/USP22/STRAP/RTCB/RBM19/PAXBP1/PUS1/IVNS1ABP,71
BP,GO:0009156,ribonucleoside monophosphate biosynthetic process,17/1130,34/18903,1.25202510190796e-12,1.88860161465928e-10,1.70423679989971e-10,PFAS/APRT/UMPS/IMPDH2/IMPDH1/GART/PAICS/CAD/ADSL/ATIC/GMPS/PRPS1/AMPD2/DHODH/PPAT/RFK/UCK2,17
BP,GO:0006360,transcription by RNA polymerase I,22/1130,62/18903,3.41462076817739e-12,4.99465892363402e-10,4.50708157534866e-10,POLR1C/POLR1G/POLR1A/ERCC2/NCL/FLNA/MARS1/TCOF1/PWP1/WDR43/TTF1/WDR75/UTP15/MYBBP1A/POLR1E/HEATR1/DHX33/NOL11/DDX21/LYAR/RRN3/POLR1H,22
BP,GO:0000460,maturation of 5.8S rRNA,17/1130,36/18903,4.11474031575904e-12,5.84172103063791e-10,5.2714536924492e-10,PES1/URB1/UTP20/RPP40/NOP14/BOP1/RRS1/NOL9/NOP9/FTSJ3/MAK16/WDR12/RPF1/ABT1/RCL1/FCF1/LAS1L,17
BP,GO:0032259,methylation,61/1130,390/18903,4.36666288980265e-12,6.02225193402211e-10,5.4343612144371e-10,MEN1/PRMT5/OGT/RRP8/PRMT3/EEF1AKMT4/GSPT1/WT1/FBL/DNMT1/NOP2/CLNS1A/WDR4/SNRPD2/ETF1/NSUN2/RLF/TARBP1/PWP1/WTAP/TRMT5/SETMAR/SPOUT1/MRM1/BCOR/THADA/TRMT10C/CAMKMT/CARM1/FTSJ3/TRMT44/TRMT2A/METTL13/FAM98A/NSUN6/TFB1M/EMG1/GTPBP3/NSUN4/PRMT6/NSUN5/TGS1/MTR/PRMT1/WDR77/NTMT1/DPH5/TFB2M/METTL17/MRM3/METTL5/PRMT7/TRMT1/MIS18A/MTRR/FTSJ1/TRMT6/DIMT1/MTO1/KDM3A/PAXBP1,61
BP,GO:0000469,cleavage involved in rRNA processing,15/1130,28/18903,7.28442085906313e-12,9.76719430186048e-10,8.81372324994246e-10,UTP20/RPP40/NOP14/TBL3/BOP1/BMS1/RRS1/TSR1/NOL9/NOP9/UTP23/ABT1/NOB1/RCL1/FCF1,15
