ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa04066,HIF-1 signaling pathway - Homo sapiens (human),12/564,109/8659,0.0506616194472069,0.391012011625378,0.3635018520084,3939/7037/226/2597/3643/2023/230/6513/3459/3099/5163/8569,12
hsa00220,Arginine biosynthesis - Homo sapiens (human),4/564,22/8659,0.0510599877723861,0.391012011625378,0.3635018520084,445/2805/95/84706,4
hsa05208,Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human),21/564,223/8659,0.0558334089496512,0.416603128316628,0.387292472336312,9167/27089/4709/4726/4710/4714/4701/4705/847/1329/1327/1535/1350/7416/4719/7384/4723/4700/2885/1545/4715,21
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),5/564,34/8659,0.0670708196485315,0.4756894455324,0.442221694707277,226/230/3099/6652/29926,5
hsa03022,Basal transcription factors - Homo sapiens (human),6/564,45/8659,0.0698841634822687,0.4756894455324,0.442221694707277,2068/1022/2959/2966/2967/2968,6
hsa03040,Spliceosome - Homo sapiens (human),20/564,216/8659,0.0699360692681338,0.4756894455324,0.442221694707277,9128/9129/10465/10286/24148/6627/3312/1655/4809/6633/7307/10291/10713/10523/57187/9984/84321/153527/56949/22827,20
hsa03018,RNA degradation - Homo sapiens (human),9/564,79/8659,0.0702908802676743,0.4756894455324,0.442221694707277,2023/3329/26986/3313/8761/87178/246175/170506/22894,9
hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),9/564,80/8659,0.07487600949342,0.495202699149664,0.460362067938013,4353/7372/3615/4830/1890/3614/6241/8833/7371,9
hsa03420,Nucleotide excision repair - Homo sapiens (human),7/564,63/8659,0.113872937856083,0.736378331469336,0.684569474362885,2068/5434/1022/5437/2966/2967/2968,7
hsa00030,Pentose phosphate pathway - Homo sapiens (human),4/564,31/8659,0.139821715395812,0.884524330003939,0.822292468117245,226/230/22934/5631,4
hsa05134,Legionellosis - Homo sapiens (human),6/564,56/8659,0.155314360498737,0.961627210747499,0.893970675211095,7097/3329/3312/1937/54205/4791,6
hsa01210,2-Oxocarboxylic acid metabolism - Homo sapiens (human),4/564,33/8659,0.16475678640012,0.998330268247244,0.928091441271628,3420/2805/95/84706,4
hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),7/564,70/8659,0.169361128896886,0.998330268247244,0.928091441271628,3939/6513/2322/3099/8140/5163/6510,7
hsa04146,Peroxisome - Homo sapiens (human),8/564,83/8659,0.17153441035176,0.998330268247244,0.928091441271628,11001/847/5830/4598/5052/10654/84188/55711,8
hsa04614,Renin-angiotensin system - Homo sapiens (human),3/564,23/8659,0.18604688075637,0.999999999706984,0.929643696598644,1511/7064/57486,3
hsa05202,Transcriptional misregulation in cancer - Homo sapiens (human),16/564,193/8659,0.190593835279926,0.999999999706984,0.929643696598644,4221/904/4353/1051/1655/7490/6256/890/5371/3206/2322/4299/4149/861/4298/4208,16
hsa05166,Human T-cell leukemia virus 1 infection - Homo sapiens (human),18/564,222/8659,0.197688993254101,0.999999999706984,0.929643696598644,1111/701/9133/4772/3106/3107/6513/2224/890/3683/7416/811/821/5902/4791/5971/8881/545,18
hsa04977,Vitamin digestion and absorption - Homo sapiens (human),3/564,24/8659,0.203050913387179,0.999999999706984,0.929643696598644,6573/949/8884,3
hsa05010,Alzheimer disease - Homo sapiens (human),29/564,384/8659,0.226365128209915,0.999999999706984,0.929643696598644,9167/27089/4709/4726/4710/4714/4701/4705/2597/1965/3643/1329/1327/1350/22926/7416/4719/7384/4723/4700/1460/1457/54205/25800/23516/5695/55851/8660/4715,29
hsa00730,Thiamine metabolism - Homo sapiens (human),2/564,15/8659,0.255326301775814,0.999999999706984,0.929643696598644,205/9054,2
hsa04152,AMPK signaling pathway - Homo sapiens (human),10/564,121/8659,0.262989520275495,0.999999999706984,0.929643696598644,6319/3156/3643/1938/890/2194/1374/31/10645/8660,10
hsa04380,Osteoclast differentiation - Homo sapiens (human),11/564,135/8659,0.263780874931474,0.999999999706984,0.929643696598644,4982/4772/1535/3459/2355/3727/2885/4791/5971/8878/11006,11
hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),6/564,67/8659,0.269834601744223,0.999999999706984,0.929643696598644,3939/226/2597/2023/230/3099,6
hsa05221,Acute myeloid leukemia - Homo sapiens (human),6/564,67/8659,0.269834601744223,0.999999999706984,0.929643696598644,4353/890/5371/2322/2885/861,6
hsa05416,Viral myocarditis - Homo sapiens (human),6/564,67/8659,0.269834601744223,0.999999999706984,0.929643696598644,3106/3107/3683/1982/54205/1981,6
hsa04931,Insulin resistance - Homo sapiens (human),9/564,108/8659,0.270167541109043,0.999999999706984,0.929643696598644,11001/8473/3643/5836/6513/5501/1374/10999/8660,9
hsa03460,Fanconi anemia pathway - Homo sapiens (human),5/564,54/8659,0.274274946173213,0.999999999706984,0.929643696598644,4292/641/545/29089/9894,5
hsa00360,Phenylalanine metabolism - Homo sapiens (human),2/564,16/8659,0.28013295941519,0.999999999706984,0.929643696598644,2805/259307,2
hsa05162,Measles - Homo sapiens (human),11/564,138/8659,0.28745270792139,0.999999999706984,0.929643696598644,7097/1965/3312/7128/4478/1460/1457/54205/27113/64135/54106,11
hsa00380,Tryptophan metabolism - Homo sapiens (human),4/564,42/8659,0.291503693480141,0.999999999706984,0.929643696598644,847/1545/2639/259307,4
hsa00450,Selenocompound metabolism - Homo sapiens (human),2/564,17/8659,0.304872838362631,0.999999999706984,0.929643696598644,4141/4548,2
hsa01212,Fatty acid metabolism - Homo sapiens (human),5/564,57/8659,0.313014063169719,0.999999999706984,0.929643696598644,6319/9415/2194/1374/31,5
hsa04218,Cellular senescence - Homo sapiens (human),12/564,156/8659,0.317328891388684,0.999999999706984,0.929643696598644,1111/5810/9133/4772/3106/3107/891/890/7416/5501/8878/545,12
hsa03410,Base excision repair - Homo sapiens (human),4/564,44/8659,0.32152727056972,0.999999999706984,0.929643696598644,328/3980/55775/11232,4
hsa00061,Fatty acid biosynthesis - Homo sapiens (human),2/564,18/8659,0.32944954060329,0.999999999706984,0.929643696598644,2194/31,2
hsa05016,Huntington disease - Homo sapiens (human),22/564,306/8659,0.345576188242336,0.999999999706984,0.929643696598644,9167/27089/4709/4726/4710/4714/4701/4705/1329/1327/1350/5434/7416/4719/7384/4723/5437/4700/54205/5695/27113/4715,22
hsa04137,Mitophagy - animal - Homo sapiens (human),8/564,103/8659,0.356130906877819,0.999999999706984,0.929643696598644,9868/10452/1965/1460/1457/8878/192111/11331,8
hsa04918,Thyroid hormone synthesis - Homo sapiens (human),6/564,75/8659,0.362984804745429,0.999999999706984,0.929643696598644,3309/9601/7184/821/7270/8458,6
hsa00520,Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),4/564,49/8659,0.397072352085895,0.999999999706984,0.929643696598644,10007/3099/64841/29926,4
hsa00770,Pantothenate and CoA biosynthesis - Homo sapiens (human),2/564,21/8659,0.40142117734812,0.999999999706984,0.929643696598644,80025/79646,2
hsa03030,DNA replication - Homo sapiens (human),3/564,36/8659,0.418998767810222,0.999999999706984,0.929643696598644,4173/5557/1763,3
hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),3/564,37/8659,0.436669003764872,0.999999999706984,0.929643696598644,952/10135/133686,3
hsa01250,Biosynthesis of nucleotide sugars - Homo sapiens (human),3/564,37/8659,0.436669003764872,0.999999999706984,0.929643696598644,3099/64841/29926,3
hsa03430,Mismatch repair - Homo sapiens (human),2/564,23/8659,0.447340165097413,0.999999999706984,0.929643696598644,4292/9156,2
hsa05340,Primary immunodeficiency - Homo sapiens (human),3/564,38/8659,0.454133534914843,0.999999999706984,0.929643696598644,5994/8625/84876,3
hsa04920,Adipocytokine signaling pathway - Homo sapiens (human),5/564,70/8659,0.483070162661055,0.999999999706984,0.929643696598644,6513/6256/1374/10645/8660,5
hsa04723,Retrograde endocannabinoid signaling - Homo sapiens (human),10/564,148/8659,0.499728517976084,0.999999999706984,0.929643696598644,4709/4726/4710/4714/4701/4705/4719/4723/4700/4715,10
hsa04914,Progesterone-mediated oocyte maturation - Homo sapiens (human),7/564,102/8659,0.499897371777525,0.999999999706984,0.929643696598644,699/9133/3326/891/890/5347/8881,7
hsa04260,Cardiac muscle contraction - Homo sapiens (human),6/564,87/8659,0.503730490363027,0.999999999706984,0.929643696598644,9167/27089/1329/1327/1350/7384,6
hsa03440,Homologous recombination - Homo sapiens (human),3/564,41/8659,0.505067891681364,0.999999999706984,0.929643696598644,641/51720/25788,3
hsa04216,Ferroptosis - Homo sapiens (human),3/564,41/8659,0.505067891681364,0.999999999706984,0.929643696598644,7037/6520/23516,3
hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human),6/564,89/8659,0.526289039000208,0.999999999706984,0.929643696598644,7097/4772/3459/1460/1457/54106,6
hsa05022,Pathways of neurodegeneration - multiple diseases - Homo sapiens (human),31/564,476/8659,0.528577613033222,0.999999999706984,0.929643696598644,9167/27089/4709/4726/4710/4714/4701/4705/10452/847/1965/1329/3309/4744/1327/1350/22926/7416/4719/7384/4723/4700/1460/1457/54205/10131/8878/5695/10280/55255/4715,31
hsa01040,Biosynthesis of unsaturated fatty acids - Homo sapiens (human),2/564,27/8659,0.532827576074084,0.999999999706984,0.929643696598644,6319/9415,2
hsa04145,Phagosome - Homo sapiens (human),10/564,152/8659,0.534367452261036,0.999999999706984,0.929643696598644,7097/3106/7037/4353/3107/1535/811/821/29927/949,10
hsa00860,Porphyrin metabolism - Homo sapiens (human),3/564,43/8659,0.53762231929444,0.999999999706984,0.929643696598644,2058/211/3163,3
hsa04940,Type I diabetes mellitus - Homo sapiens (human),3/564,43/8659,0.53762231929444,0.999999999706984,0.929643696598644,3106/3107/3329,3
hsa04910,Insulin signaling pathway - Homo sapiens (human),9/564,137/8659,0.53930592638163,0.999999999706984,0.929643696598644,3643/5836/5501/2194/3099/2885/31/8569/8660,9
hsa05417,Lipid and atherosclerosis - Homo sapiens (human),14/564,215/8659,0.540864856899279,0.999999999706984,0.929643696598644,7097/4772/1965/3326/5452/3329/3309/3312/1535/7184/5451/22926/6256/54205,14
hsa04148,Efferocytosis - Homo sapiens (human),10/564,156/8659,0.568145215884304,0.999999999706984,0.929643696598644,4772/6513/1051/6256/811/682/5029/1374/6566/55754,10
hsa04213,Longevity regulating pathway - multiple species - Homo sapiens (human),4/564,61/8659,0.568395055814601,0.999999999706984,0.929643696598644,847/3643/3312/8660,4
hsa02010,ABC transporters - Homo sapiens (human),3/564,45/8659,0.568920248007817,0.999999999706984,0.929643696598644,10257/20/23456,3
hsa05203,Viral carcinogenesis - Homo sapiens (human),13/564,204/8659,0.574417355016413,0.999999999706984,0.929643696598644,1111/3106/3107/890/5902/2885/2959/4791/2966/2967/23513/2968/9093,13
hsa04120,Ubiquitin mediated proteolysis - Homo sapiens (human),9/564,142/8659,0.583384695408986,0.999999999706984,0.929643696598644,11065/51366/8924/5371/997/7320/8881/8454/27338,9
hsa03050,Proteasome - Homo sapiens (human),3/564,46/8659,0.584071162029403,0.999999999706984,0.929643696598644,10197/5695/51371,3
hsa04930,Type II diabetes mellitus - Homo sapiens (human),3/564,46/8659,0.584071162029403,0.999999999706984,0.929643696598644,3643/3099/8660,3
hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),2/564,30/8659,0.590750409615434,0.999999999706984,0.929643696598644,3420/5091,2
hsa00630,Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),2/564,30/8659,0.590750409615434,0.999999999706984,0.929643696598644,847/6472,2
hsa00310,Lysine degradation - Homo sapiens (human),4/564,63/8659,0.594313675380729,0.999999999706984,0.929643696598644,6419/79823/79709/2639,4
hsa00514,Other types of O-glycan biosynthesis - Homo sapiens (human),3/564,47/8659,0.598879056402294,0.999999999706984,0.929643696598644,4242/8473/79709,3
hsa00620,Pyruvate metabolism - Homo sapiens (human),3/564,47/8659,0.598879056402294,0.999999999706984,0.929643696598644,3939/5091/31,3
hsa00533,Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human),1/564,14/8659,0.610803208926419,0.999999999706984,0.929643696598644,10164,1
hsa00640,Propanoate metabolism - Homo sapiens (human),2/564,32/8659,0.626299534513872,0.999999999706984,0.929643696598644,3939/31,2
hsa04215,Apoptosis - multiple species - Homo sapiens (human),2/564,32/8659,0.626299534513872,0.999999999706984,0.929643696598644,54205/27113,2
hsa04068,FoxO signaling pathway - Homo sapiens (human),8/564,131/8659,0.626774214657748,0.999999999706984,0.929643696598644,9133/847/3643/891/5347/2885/3276/8660,8
hsa05144,Malaria - Homo sapiens (human),3/564,50/8659,0.641188194302421,0.999999999706984,0.929643696598644,7097/3683/54106,3
hsa04913,Ovarian steroidogenesis - Homo sapiens (human),3/564,51/8659,0.654574205354192,0.999999999706984,0.929643696598644,3643/1545/949,3
hsa00350,Tyrosine metabolism - Homo sapiens (human),2/564,36/8659,0.690120555420461,0.999999999706984,0.929643696598644,2805/259307,2
hsa00500,Starch and sucrose metabolism - Homo sapiens (human),2/564,36/8659,0.690120555420461,0.999999999706984,0.929643696598644,5836/3099,2
hsa04976,Bile secretion - Homo sapiens (human),5/564,89/8659,0.696819081448771,0.999999999706984,0.929643696598644,10257/3156/6513/6256/949,5
hsa00511,Other glycan degradation - Homo sapiens (human),1/564,18/8659,0.702868534777475,0.999999999706984,0.929643696598644,10825,1
hsa05143,African trypanosomiasis - Homo sapiens (human),2/564,37/8659,0.704603501229352,0.999999999706984,0.929643696598644,7064/54106,2
hsa04922,Glucagon signaling pathway - Homo sapiens (human),6/564,107/8659,0.705488003876465,0.999999999706984,0.929643696598644,3939/5836/6513/1374/31/3276,6
hsa01524,Platinum drug resistance - Homo sapiens (human),4/564,73/8659,0.709102674767171,0.999999999706984,0.929643696598644,7153/4292/54205/27113,4
hsa05330,Allograft rejection - Homo sapiens (human),2/564,38/8659,0.718518499357936,0.999999999706984,0.929643696598644,3106/3107,2
hsa00785,Lipoic acid metabolism - Homo sapiens (human),1/564,19/8659,0.722262371877985,0.999999999706984,0.929643696598644,11019,1
hsa05170,Human immunodeficiency virus 1 infection - Homo sapiens (human),12/564,212/8659,0.734856035283464,0.999999999706984,0.929643696598644,1111/6892/7097/9133/4772/3106/3107/891/811/54205/545/8454,12
hsa04657,IL-17 signaling pathway - Homo sapiens (human),5/564,94/8659,0.741662610023669,0.999999999706984,0.929643696598644,3326/7184/3727/1051/7128,5
hsa05152,Tuberculosis - Homo sapiens (human),10/564,180/8659,0.743925722949155,0.999999999706984,0.929643696598644,5994/8625/7097/972/3329/3459/1051/3313/54205/54106,10
hsa05140,Leishmaniasis - Homo sapiens (human),4/564,77/8659,0.747806792417337,0.999999999706984,0.929643696598644,7097/1535/3676/3459,4
hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human),1/564,21/8659,0.757341031532008,0.999999999706984,0.929643696598644,50515,1
hsa04114,Oocyte meiosis - Homo sapiens (human),7/564,131/8659,0.758299476849171,0.999999999706984,0.929643696598644,699/9133/891/5501/5347/8881/8454,7
hsa04650,Natural killer cell mediated cytotoxicity - Homo sapiens (human),7/564,132/8659,0.765183824930311,0.999999999706984,0.929643696598644,4772/3106/3107/3384/3459/3683/2885,7
hsa05332,Graft-versus-host disease - Homo sapiens (human),2/564,42/8659,0.768757998324341,0.999999999706984,0.929643696598644,3106/3107,2
hsa05169,Epstein-Barr virus infection - Homo sapiens (human),11/564,202/8659,0.773434197275303,0.999999999706984,0.929643696598644,6892/7097/3106/3107/890/3683/7128/811/54205/4791/5971,11
hsa04330,Notch signaling pathway - Homo sapiens (human),3/564,62/8659,0.778299843440076,0.999999999706984,0.929643696598644,4242/182/55851,3
hsa00071,Fatty acid degradation - Homo sapiens (human),2/564,43/8659,0.780032909496531,0.999999999706984,0.929643696598644,1374/2639,2
hsa04975,Fat digestion and absorption - Homo sapiens (human),2/564,43/8659,0.780032909496531,0.999999999706984,0.929643696598644,10999/949,2
hsa03082,ATP-dependent chromatin remodeling - Homo sapiens (human),6/564,117/8659,0.782590749298013,0.999999999706984,0.929643696598644,9643/93973/79913/10933/10856/8607,6
hsa05321,Inflammatory bowel disease - Homo sapiens (human),3/564,65/8659,0.804949008123184,0.999999999706984,0.929643696598644,7097/4772/3459,3
hsa04064,NF-kappa B signaling pathway - Homo sapiens (human),5/564,104/8659,0.816329135939548,0.999999999706984,0.929643696598644,7128/1460/1457/4791/5971,5
hsa05210,Colorectal cancer - Homo sapiens (human),4/564,86/8659,0.820319251441886,0.999999999706984,0.929643696598644,4292/2885/54205/27113,4
hsa00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human),1/564,26/8659,0.826883309621306,0.999999999706984,0.929643696598644,284098,1
hsa00592,alpha-Linolenic acid metabolism - Homo sapiens (human),1/564,26/8659,0.826883309621306,0.999999999706984,0.929643696598644,9415,1
hsa00830,Retinol metabolism - Homo sapiens (human),3/564,68/8659,0.828853426309494,0.999999999706984,0.929643696598644,54884/112724/10170,3
hsa00280,Valine, leucine and isoleucine degradation - Homo sapiens (human),2/564,48/8659,0.829443897081362,0.999999999706984,0.929643696598644,3157/259307,2
hsa05017,Spinocerebellar ataxia - Homo sapiens (human),7/564,143/8659,0.831636806107426,0.999999999706984,0.929643696598644,10528/7416/54205/2959/56652/5695/25814,7
hsa00650,Butanoate metabolism - Homo sapiens (human),1/564,27/8659,0.838193145526968,0.999999999706984,0.929643696598644,3157,1
hsa00790,Folate biosynthesis - Homo sapiens (human),1/564,27/8659,0.838193145526968,0.999999999706984,0.929643696598644,1719,1
hsa04211,Longevity regulating pathway - Homo sapiens (human),4/564,89/8659,0.84031867914367,0.999999999706984,0.929643696598644,847/3643/10645/8660,4
hsa04659,Th17 cell differentiation - Homo sapiens (human),5/564,108/8659,0.84090587465132,0.999999999706984,0.929643696598644,4772/3326/3459/6256/861,5
hsa05110,Vibrio cholerae infection - Homo sapiens (human),2/564,50/8659,0.846241876054547,0.999999999706984,0.929643696598644,9601/29927,2
hsa04979,Cholesterol metabolism - Homo sapiens (human),2/564,51/8659,0.854065046287214,0.999999999706984,0.929643696598644,7416/949,2
hsa05222,Small cell lung cancer - Homo sapiens (human),4/564,92/8659,0.858418182943056,0.999999999706984,0.929643696598644,6256/1164/4149/54205,4
hsa05205,Proteoglycans in cancer - Homo sapiens (human),10/564,205/8659,0.867808157920707,0.999999999706984,0.929643696598644,7097/1655/2316/1975/4478/5501/2885/7023/5329/84309,10
hsa05320,Autoimmune thyroid disease - Homo sapiens (human),2/564,53/8659,0.868632043838028,0.999999999706984,0.929643696598644,3106/3107,2
hsa04668,TNF signaling pathway - Homo sapiens (human),5/564,114/8659,0.872648323610679,0.999999999706984,0.929643696598644,8986/1051/7128/182/192111,5
hsa05164,Influenza A - Homo sapiens (human),8/564,171/8659,0.876407122450174,0.999999999706984,0.929643696598644,1965/2224/3459/7416/5371/3838/54205/64135,8
hsa00052,Galactose metabolism - Homo sapiens (human),1/564,32/8659,0.884592503305754,0.999999999706984,0.929643696598644,3099,1
hsa04210,Apoptosis - Homo sapiens (human),6/564,136/8659,0.885609800243783,0.999999999706984,0.929643696598644,1676/1965/835/54205/2021/27113,6
