"","Protein.Names","Protein.Group","Protein.Ids","Genes","First.Protein.Description","D1","D2","D3","D4","WT1","WT2","WT3","WT4","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"43","AAKG1_HUMAN","P54619","P54619","PRKAG1","5'-AMP-activated protein kinase subunit gamma-1",734578,736281.234043678,745957.191673983,719125.440527549,772688.110187742,746130.01488286,714504.57944259,763503.391214944,-0.00139330172853036,19.4754652378915,-0.0534301555134685,0.958851353558158,0.976430295040057,-7.47411366773951
"44","AAMDC_HUMAN","Q9H7C9","Q9H7C9","AAMDC","Mth938 domain-containing protein",191228,186473.801228639,217806.281426628,186879.143033033,169103.903074728,158551.515208122,156195.743870489,157365.567166686,0.30909574884452,17.4104375240846,5.87880209545956,0.000565863474834196,0.00476338805681323,-0.350203425706075
"45","AAMP_HUMAN","Q13685","Q13685","AAMP","Angio-associated migratory cell protein",1150500,1136539.7960257,1143369.51122816,1105463.7209222,1373986.94377609,1336884.36319459,1299336.14062322,1306268.08228803,-0.199926585614971,20.201912804564,-7.81091073436471,9.49222678867847e-05,0.00149595636982813,1.60474167849646
"46","AAPK1_HUMAN","Q13131","Q13131","PRKAA1","5'-AMP-activated protein kinase catalytic subunit alpha-1",974973.000000001,1001913.34878947,938903.19280481,948673.991877872,924875.410337099,915708.113485126,941356.440218209,944403.360240999,0.0802792145035305,19.8305410333246,2.85224673997965,0.0240591634199154,0.0681834200505375,-4.3941534093623
"47","AAR2_HUMAN","Q9Y312","Q9Y312","AAR2","Protein AAR2 homolog",635045.000000001,685161.265050471,628357.15315425,502119.009811905,679423.515373656,735704.119892138,670979.415060683,761716.772176577,-0.196296382053642,19.3031601316998,-2.03494040236316,0.0804667061940534,0.166567444894071,-5.62130974231132
"48","AASD1_HUMAN","Q9BTE6","Q9BTE6","AARSD1","Alanyl-tRNA editing protein Aarsd1",1320500,1297460.26398642,1327330.11783979,1316485.28543208,1445864.31463095,1429589.7916723,1340310.34923107,1472524.31555675,-0.0825320999794421,20.3573841682849,-2.91485894454898,0.0219779318394427,0.0635168294232534,-4.29964957910737
"49","AATC_HUMAN","P17174","P17174","GOT1","Aspartate aminotransferase, cytoplasmic",1460500,1478504.88672165,1521550.86198616,1507419.07015156,1610178.41320666,1615035.24206707,1627182.65043736,1701203.43083704,-0.105513753764043,20.5503276553705,-5.12656347796819,0.00127306120195901,0.0082189986838243,-1.2371751452513
"50","AATF_HUMAN","Q9NY61","Q9NY61","AATF","Protein AATF",798432,811910.843722608,804743.068173317,809153.951030528,931836.275625152,984520.155084887,956200.753631803,922864.708857974,-0.206584542428992,19.7132250990194,-8.04131575815281,7.85825793069724e-05,0.0013065022028996,1.81109301807445
"51","AATM_HUMAN","P00505","P00505","GOT2","Aspartate aminotransferase, mitochondrial",7130500,7093129.60682696,6988210.09399858,7026231.11119249,6835756.38529379,7116796.97828304,7158382.06612218,7317637.98492834,0.022998567626356,22.7273481992019,0.951861390279858,0.372225812230439,0.505943328859335,-6.9911753041513
"52","AB17B_HUMAN","Q5VST6","Q5VST6","ABHD17B","Alpha/beta hydrolase domain-containing protein 17B",378169,400118.498728318,363251.99928914,407678.599224289,404101.565687592,362413.015609725,394963.53708361,412781.931173725,0.00351049055610986,18.5498776251834,0.0641066137959718,0.950640755404581,0.971713093353742,-7.4734010820434
"53","AB1IP_HUMAN","Q7Z5R6","Q7Z5R6","APBB1IP","Amyloid beta A4 precursor protein-binding family B member 1-interacting protein",1520500,1488563.17993244,1572667.75413847,1547616.68863722,1373986.94377609,1367784.81696939,1391530.91182073,1420563.86689538,0.170962164301709,20.450444405083,8.49248133974039,5.49730120589236e-05,0.00102821970514293,2.20084495034313
"54","ABC3B_HUMAN","Q9UH17","Q96AK3;Q9UH17","APOBEC3B","DNA dC->dU-editing enzyme APOBEC-3B",2140500,1941210.93663212,2104413.66819961,2030012.27331878,1353451.74317431,1398686.63648265,1350554.21584429,1337437.23729188,0.622598375981223,20.6464266825722,18.10165109605,3.09651133137299e-07,7.82883485573336e-05,7.65043096321652
"55","ABC3C_HUMAN","Q9NRW3","Q9NRW3","APOBEC3C","DNA dC->dU-editing enzyme APOBEC-3C",23700500,21841093.0995573,22957222.9339733,26144505.8617436,23073440.1536744,22741730.8659812,22293827.7931916,22860812.8289061,0.0887391857336794,24.4353060917384,1.62160040025404,0.148017323942497,0.261234126364255,-6.20421839822085
"56","ABCA2_HUMAN","Q9BZC7","Q9BZC7","ABCA2","ATP-binding cassette sub-family A member 2",59187.7000000001,40815.457300604,50144.9270219361,34221.351208754,77102.2278494326,103022.082865387,78669.9343097431,78772.3044345882,-0.868760491745304,15.8876111096028,-4.75742401727996,0.00194890065485333,0.0110513067296091,-1.70164295109103
"57","ABCB6_HUMAN","Q9NP58","Q9NP58","ABCB6","ATP-binding cassette sub-family B member 6",1110500,1941210.93663212,985003.422748183,1467221.79836018,1743705.34654264,1924201.62051652,1955135.22585057,2137981.72621923,-0.512579570309974,20.5868607074813,-2.44353800412265,0.0438161721473116,0.106026460126762,-5.01250404704341
"58","ABCB7_HUMAN","O75027","O75027","ABCB7","Iron-sulfur clusters transporter ABCB7, mitochondrial",584389,577791.898402455,591040.053295539,580120.403823378,582472.010945863,558242.525211438,551177.953608923,586190.457661302,0.0621387684295769,19.1125238616016,2.71946613613382,0.0291868958494867,0.078301617405209,-4.59500203965039
"59","ABCBA_HUMAN","Q9NRK6","Q9NRK6","ABCB10","ATP-binding cassette sub-family B member 10, mitochondrial",1260500,1307518.05695341,1266005.53884235,1266240.99185845,1528017.50612799,1563518.22088043,1534964.14712016,1566064.7220891,-0.250707830948926,20.3964175775247,-12.9424447684018,3.19706113580839e-06,0.000217637239837138,5.25750382123702
"60","ABCD1_HUMAN","P33897","P33897","ABCD1","ATP-binding cassette sub-family D member 1",176316,212218.358590738,200112.950228195,182797.853382314,170910.582045924,156427.307369048,191122.654660197,144985.824791671,0.245800775301909,17.4209536895508,2.50064196782353,0.0402650897768836,0.0992092553802855,-4.92625180411417
"61","ABCD3_HUMAN","P28288","P28288","ABCD3","ATP-binding cassette sub-family D member 3",1100500,1096310.99470029,1030969.86633808,1055222.32679639,1024437.30158844,1038257.41840279,1033057.23428077,1034296.67527195,0.0802833919212169,19.9787504730978,2.7474112184843,0.0280199289979455,0.0761460783591312,-4.55269702236469
"62","ABCE1_HUMAN","P61221","P61221","ABCE1","ATP-binding cassette sub-family E member 1",6600500,6952229.81619824,6855017.44091241,6825144.74401691,7185853.99796737,7209801.14909549,7291909.66606314,7317637.98492834,-0.058804407095181,22.7157587670574,-3.07002628689779,0.0175969701607476,0.0538035801578822,-4.06634325948023
"63","ABCF1_HUMAN","Q8NE71","Q8NE71","ABCF1","ATP-binding cassette sub-family F member 1",4700499.99999999,4768438.92978045,4837144.72737219,4683707.25638695,5188688.86925371,5112678.67254925,5227854.50549155,5335768.67525607,-0.10407974953047,22.2186911649365,-6.08168688735024,0.000460306546703326,0.00411080097494371,-0.124041770225702
"64","ABCF2_HUMAN","Q9UG63","Q9UG63","ABCF2","ATP-binding cassette sub-family F member 2",3340500,3269185.75336621,3127520.07146259,3165787.08049085,4056848.10255118,3976978.06703646,3893565.19039278,3949545.79821858,-0.268281888068731,21.7432279860578,-8.716313008108,4.63139494499344e-05,0.000919063490399145,2.38751220267733
"65","ABCF3_HUMAN","Q9NUQ8","Q9NUQ8","ABCF3","ATP-binding cassette sub-family F member 3",1030500,1015855.10621756,1071840.50695854,1055222.32679639,1209721.05618019,1233893.12938644,1196909.77998241,1202384.7647094,-0.186084687912622,20.0747524509347,-9.14406757006109,3.37182195688422e-05,0.000750152951201789,2.73260177110469
"66","ABD12_HUMAN","Q8N2K0","Q8N2K0","ABHD12","Lysophosphatidylserine lipase ABHD12",1110500,979349.038952215,1030969.86633808,986253.213844474,885740.735176782,914454.51314813,933492.657596139,874630.84929295,0.213399428676993,19.8504086819092,4.49373106520793,0.00267360482056776,0.0137581703615353,-2.04556471301565
"67","ABHD2_HUMAN","P08910","P08910","ABHD2","Monoacylglycerol lipase ABHD2",79927.1000000001,75776.5529416399,80929.3473411749,65708.3000535911,62098.5403155798,82563.2535724726,83133.827396563,77881.653251149,0.0120915094481369,16.186214019536,0.11007117707381,0.915378639332624,0.949972566678952,-7.46885779459986
"68","ABHD3_HUMAN","Q8WU67","Q8WU67","ABHD3","Phospholipase ABHD3",209450,194449.803431116,152758.358638755,155095.308360142,154454.303115971,139874.636767305,134078.027231547,169895.581920222,0.267207050080323,17.2843312100331,2.07744962791031,0.0755328599901114,0.158683933939111,-5.55901301958417
"69","ABHD5_HUMAN","Q8WTS1","Q8WTS1","ABHD5","1-acylglycerol-3-phosphate O-acyltransferase ABHD5",328946,375631.066133862,348032.186532038,464796.347740177,424111.480320794,332050.76384635,419266.842516138,559038.417608647,-0.154215231419656,18.5875375619657,-0.897846007327356,0.39848909496093,0.530679029458013,-7.04185108885407
"70","ABHDA_HUMAN","Q9NUJ1","Q9NUJ1","ABHD10","Palmitoyl-protein thioesterase ABHD10, mitochondrial",1130500,1156654.40197967,1082058.52325621,1155705.85374631,981463.762354288,1100029.91194844,1013907.50711673,1036219.66066672,0.160211553378996,20.0180196876552,3.81147751764951,0.00635568569702519,0.0251755200057205,-2.98179830189426
"71","ABHDB_HUMAN","Q8NFV4","Q8NFV4","ABHD11","Protein ABHD11",686286,725283.454978327,602799.109312765,765772.934545883,674508.267949322,739126.917573893,683421.307591307,735412.59060322,-0.00360337152789469,19.392536309518,-0.0457097796097652,0.964792000015193,0.98003262276319,-7.47454836283352
"72","ABHDD_HUMAN","Q7L211","Q7L211","ABHD13","Protein ABHD13",121431,136654.130997226,129313.831369094,120668.744462206,126788.418533009,124867.727624303,106733.055991253,128333.603687117,0.0879028030696745,16.8996943761634,1.29982596882726,0.233991679712072,0.364174696592849,-6.61436369973166
"73","ABHEB_HUMAN","Q96IU4","Q96IU4","ABHD14B","Putative protein-lysine deacylase ABHD14B",3010500,3027717.31351781,2994484.74046747,2944650.62373652,3141486.4127251,2738772.84663803,2826654.60391142,3001771.16972272,0.0651466160916527,21.4695702386575,1.50470017139559,0.17522578658408,0.293994386094845,-6.35876722098436
"74","ABHGA_HUMAN","O95870","O95870","ABHD16A","Phosphatidylserine lipase ABHD16A",823433,826351.27483162,733983.078070511,837335.891603973,830404.143220247,855000.955972593,884166.529551178,817917.228946915,-0.0460093502254857,19.6296107617947,-0.850869930017054,0.422416885437453,0.554351280477431,-7.08399720565329
"75","ABI1_HUMAN","Q8IZP0","Q8IZP0;Q9NYB9","ABI1","Abl interactor 1",856024,867895.19756187,824473.229796692,830684.487517024,793517.317507347,792638.437664876,776013.258934805,807102.401764868,0.120065010223854,19.6172534235616,4.75634083110458,0.00195139303263425,0.0110568884971208,-1.70303494795295
"76","ABI2_HUMAN","Q9NYB9","Q9NYB9","ABI2","Abl interactor 2",191079,188570.303512662,154559.816136216,160958.852221518,113940.724935511,110470.114485408,143348.886281988,141083.666227703,0.477894770980697,17.15241085402,4.04338961558514,0.00469819897105131,0.0202511433602282,-2.65621934697628
"77","ABITM_HUMAN","Q9NX38","Q9NX38","ABITRAM","Protein Abitram",446996,467523.627030836,482721.108710429,478648.207156643,511519.178108145,500223.339018388,567488.957775388,545630.021805913,-0.151546321566432,18.9041161668967,-3.37304173086889,0.0114992966668494,0.0393801229151517,-3.61605229517124
"78","ABL1_HUMAN","P00519","P00519","ABL1","Tyrosine-protein kinase ABL1",153786,137299.285805743,137437.063150536,141854.150030463,147978.796624104,150643.719230912,133323.78690699,132196.62110673,0.0410892911459442,17.0902581114932,0.666596406335824,0.525946798654346,0.645612243049333,-7.23084294359337
"79","ABL2_HUMAN","P42684","P42684","ABL2","Tyrosine-protein kinase ABL2",524268,489256.231786502,481447.383988667,457052.262933048,501805.378986796,465898.277951696,516263.053333246,533648.800656837,-0.0207048898488331,18.894989749363,-0.370974586821709,0.721403652186576,0.810749782009806,-7.39829309750705
"80","ABR_HUMAN","Q12979","Q12979","ABR","Active breakpoint cluster region-related protein",692597.000000001,737519.078901315,734193.452392811,714505.854672251,651114.278115889,656719.196375875,637483.623743561,670774.620605424,0.165179050707852,19.3635113059366,7.12755765864023,0.000170907162555504,0.00221394225416423,0.961417847172669
"81","ABRAL_HUMAN","Q9P1F3","Q9P1F3","ABRACL","Costars family protein ABRACL",938050.000000001,1156654.40197967,576964.956375454,962148.198628207,870896.97687023,990710.859062108,975554.505208024,908639.867581179,-0.0577972712493491,19.7671513841755,-0.281104588403283,0.786590795218572,0.858737896149876,-7.43108868218553
"82","ABRX1_HUMAN","Q6UWZ7","Q6UWZ7","ABRAXAS1","BRCA1-A complex subunit Abraxas 1",425608,337005.152849029,414778.91900743,425544.961552293,329676.404853941,344154.56522238,394465.635153396,373314.406472225,0.175988326117455,18.5076102335768,1.90493573096343,0.0976077223704126,0.19290022113743,-5.80957795769894
"83","ABRX2_HUMAN","Q15018","Q15018","ABRAXAS2","BRISC complex subunit Abraxas 2",1660500,1679675.4976508,1736257.61853159,1688310.9576194,1723161.54385149,1676859.90284473,1678418.78455437,1680411.03419987,0.0304919139902005,20.6630094258804,1.68366128973027,0.135218356918659,0.245583599932525,-6.11999551076758
"84","ABT1_HUMAN","Q9ULW3","Q9ULW3","ABT1","Activator of basal transcription 1",807379,791654.181940966,789607.586053973,762684.439316976,1011485.1769467,921757.96583545,980641.071755509,1023562.59639922,-0.292002139426007,19.7226805011239,-7.90289022534343,8.79795439998898e-05,0.00141152301226957,1.68773054811829
"85","ABTB2_HUMAN","Q8N961","Q8N961","ABTB2","Ankyrin repeat and BTB/POZ domain-containing protein 2",168289,162776.741339972,159280.634053562,143343.334275371,193195.936146372,193008.724916719,199920.649087095,171350.888866996,-0.232576808074896,17.3778527705533,-3.42529856770816,0.0106991698434653,0.0369681023997585,-3.5392854799511
"86","ACACA_HUMAN","Q13085","Q13085","ACACA","Acetyl-CoA carboxylase 1",4870500,4949570.30520886,4908827.4027605,4703813.36379145,5518037.34872262,5453490.81743177,5515316.47564717,5471317.51259339,-0.144669630426669,22.2720839203404,-6.96228695368825,0.000198344684545399,0.00240161200937207,0.79837232085664
